Instance,#Args,#Attacks,AVG DEG,MED DEG,AVG IN,MED IN,AVG OUT,MED OUT
120336__400__0_1_1__67.tgf,400,5635,28.175,30.0,14.0875,15.0,14.0875,14.0
143482__400__2_2_3__88.tgf,400,3780,18.9,20.0,9.45,10.0,9.45,9.0
120189__400__5_5_7__68.tgf,400,5419,27.095,28.0,13.5475,14.0,13.5475,13.0
194039__400__3_3_5__66.tgf,400,5589,27.945,30.0,13.9725,15.0,13.9725,13.0
153148__400__3_3_6__22.tgf,400,3779,18.895,20.0,9.4475,10.0,9.4475,9.0
136916__400__2_4_7__18.tgf,400,5509,27.545,28.0,13.7725,14.0,13.7725,13.0
190362__400__2_2_3__54.tgf,400,5756,28.78,30.0,14.39,15.0,14.39,14.0
131311__400__1_1_2__13.tgf,400,5451,27.255,28.0,13.6275,14.0,13.6275,13.0
142989__400__6_6_8__78.tgf,400,3747,18.735,20.0,9.3675,10.0,9.3675,9.0
120304__400__0_1_1__11.tgf,400,3837,19.185,20.0,9.5925,10.0,9.5925,9.5
182202__400__2_2_3__5.tgf,400,3840,19.2,20.0,9.6,10.0,9.6,9.0
120151__400__2_2_4__11.tgf,400,5395,26.975,28.0,13.4875,14.0,13.4875,13.0
192918__400__2_2_3__66.tgf,400,3790,18.95,20.0,9.475,10.0,9.475,9.0
136355__400__0_1_1__21.tgf,400,5567,27.835,29.0,13.9175,14.5,13.9175,14.0
143667__400__4_4_6__37.tgf,400,3756,18.78,20.0,9.39,10.0,9.39,9.0
192775__400__3_4_5__38.tgf,400,3768,18.84,20.0,9.42,10.0,9.42,9.0
187213__400__4_4_6__55.tgf,400,3747,18.735,20.0,9.3675,10.0,9.3675,9.0
120071__400__1_2_3__68.tgf,400,3799,18.995,20.0,9.4975,10.0,9.4975,9.0
120283__400__5_5_7__38.tgf,400,5411,27.055,28.0,13.5275,14.0,13.5275,13.0
120323__400__0_1_1__55.tgf,400,5621,28.105,29.0,14.0525,14.5,14.0525,14.0
120124__400__1_1_2__77.tgf,400,3836,19.18,20.0,9.59,10.0,9.59,9.0
153075__400__2_2_3__79.tgf,400,5592,27.96,30.0,13.98,15.0,13.98,14.0
175963__400__3_4_5__25.tgf,400,5460,27.3,28.0,13.65,14.0,13.65,13.0
189903__400__1_1_2__58.tgf,400,3748,18.74,20.0,9.37,10.0,9.37,9.0
45031__193__0_11_70__219763582.tgf,193,467,4.839378238341969,6.0,2.4196891191709846,3.0,2.4196891191709846,2.0
30907__280__8_8_16__34985402.tgf,280,3671,26.22142857142857,28.0,13.110714285714286,14.0,13.110714285714286,12.0
361395__280__7_7_14__1379539997.tgf,280,3998,28.557142857142857,28.0,14.278571428571428,14.0,14.278571428571428,14.0
34229__258__5_6_9__1887662229.tgf,258,2508,19.441860465116278,20.0,9.720930232558139,10.0,9.720930232558139,9.0
1135945__141_105__32_40_360__1726661898.tgf,141,387,5.48936170212766,4.0,2.74468085106383,2.0,2.74468085106383,1.0
558101__300__9_9_15__376852946.tgf,300,2907,19.38,20.0,9.69,10.0,9.69,9.0
34508__197__10_10_13__1871307992.tgf,197,2717,27.583756345177665,28.0,13.791878172588833,14.0,13.791878172588833,14.0
876882__287__2_2_4__1987328938.tgf,287,4121,28.717770034843205,28.0,14.358885017421603,14.0,14.358885017421603,14.0
